RAW Data export file (tab separated)


Client:	,kozawa
Session:	kozawa rest 
Date:	13-07-2020
Time:	10:11:44
Duration:	92	Seconds.
Output rate:	128	Samples/sec.

hh:mm:ss	32 SPS	128 SPS	
TIME	Sensor-E:SC/GSR	Sensor-G:BVP	Events	Segments	


00:00:00	1.120	0.118			
00:00:00	1.120	1.677			
00:00:00	1.120	3.247			
00:00:00	1.120	5.180			
00:00:00	1.120	6.134			
00:00:00	1.120	6.881			
00:00:00	1.120	7.447			
00:00:00	1.120	7.656			
00:00:00	1.119	7.851			
00:00:00	1.119	7.395			
00:00:00	1.119	6.889			
00:00:00	1.119	6.250			
00:00:00	1.119	4.764			
00:00:00	1.119	3.624			
00:00:00	1.119	2.208			
00:00:00	1.119	0.509			
00:00:00	1.119	-0.927			
00:00:00	1.119	-2.458			
00:00:00	1.119	-3.731			
00:00:00	1.119	-5.030			
00:00:00	1.119	-6.545			
00:00:00	1.119	-7.698			
00:00:00	1.119	-8.613			
00:00:00	1.119	-8.605			
00:00:00	1.118	-8.572			
00:00:00	1.118	-8.231			
00:00:00	1.118	-6.770			
00:00:00	1.118	-5.487			
00:00:00	1.118	-3.873			
00:00:00	1.118	-2.343			
00:00:00	1.118	-1.292			
00:00:00	1.118	0.437			
00:00:00	1.118	2.043			
00:00:00	1.118	3.318			
00:00:00	1.118	4.120			
00:00:00	1.118	4.109			
00:00:00	1.118	4.194			
00:00:00	1.118	3.890			
00:00:00	1.118	3.522			
00:00:00	1.118	3.022			
00:00:00	1.117	1.937			
00:00:00	1.117	0.906			
00:00:00	1.117	-0.270			
00:00:00	1.117	-1.786			
00:00:00	1.117	-3.044			
00:00:00	1.117	-4.678			
00:00:00	1.117	-5.567			
00:00:00	1.117	-6.088			
00:00:00	1.117	-6.805			
00:00:00	1.117	-7.068			
00:00:00	1.117	-7.300			
00:00:00	1.117	-7.464			
00:00:00	1.117	-7.086			
00:00:00	1.117	-6.233			
00:00:00	1.117	-4.588			
00:00:00	1.117	-3.319			
00:00:00	1.116	-2.156			
00:00:00	1.116	-0.598			
00:00:00	1.116	0.819			
00:00:00	1.116	2.427			
00:00:00	1.116	4.091			
00:00:00	1.116	5.421			
00:00:00	1.116	6.596			
00:00:00	1.116	7.535			
00:00:00	1.116	8.964			
00:00:00	1.116	10.494			
00:00:00	1.116	12.174			
00:00:00	1.116	13.634			
00:00:00	1.116	14.611			
00:00:00	1.116	15.709			
00:00:00	1.116	16.586			
00:00:00	1.116	17.110			
00:00:00	1.115	17.757			
00:00:00	1.115	17.998			
00:00:00	1.115	18.110			
00:00:00	1.115	17.780			
00:00:00	1.115	17.319			
00:00:00	1.115	17.367			
00:00:00	1.115	17.655			
00:00:00	1.115	17.832			
00:00:00	1.115	18.090			
00:00:00	1.115	18.028			
00:00:00	1.115	17.969			
00:00:00	1.115	18.138			
00:00:00	1.114	18.917			
00:00:00	1.114	19.662			
00:00:00	1.114	19.913			
00:00:00	1.114	19.327			
00:00:00	1.114	18.273			
00:00:00	1.114	16.606			
00:00:00	1.114	14.623			
00:00:00	1.114	12.191			
00:00:00	1.114	9.502			
00:00:00	1.114	6.873			
00:00:00	1.114	3.971			
