RAW Data export file (tab separated)


Client:	,kozawa
Session:	kozawa7
Date:	06-07-2020
Time:	10:45:13
Duration:	120	Seconds.
Output rate:	128	Samples/sec.

hh:mm:ss	128 SPS	32 SPS	
TIME	Sensor-G:BVP	HR (BVP)	Events	Segments	


00:00:00	5.758	70.000			
00:00:00	5.350	70.000			
00:00:00	3.962	70.000			
00:00:00	3.580	70.000			
00:00:00	2.546	70.000			
00:00:00	1.434	70.000			
00:00:00	1.274	70.000			
00:00:00	0.144	70.000			
00:00:00	-0.095	70.000			
00:00:00	-0.442	70.000			
00:00:00	-1.018	70.000			
00:00:00	-0.737	70.000			
00:00:00	-1.320	70.000			
00:00:00	-1.060	70.000			
00:00:00	-0.732	70.000			
00:00:00	-0.832	70.000			
00:00:00	-0.082	70.000			
00:00:00	-0.266	70.000			
00:00:00	-0.076	70.000			
00:00:00	0.380	70.000			
00:00:00	0.156	70.000			
00:00:00	0.785	70.000			
00:00:00	0.722	70.000			
00:00:00	0.758	70.000			
00:00:00	1.049	70.000			
00:00:00	0.167	70.000			
00:00:00	0.322	70.000			
00:00:00	0.049	70.000			
00:00:00	-0.394	70.000			
00:00:00	-0.136	70.000			
00:00:00	-0.746	70.000			
00:00:00	-0.752	70.000			
00:00:00	-0.810	70.000			
00:00:00	-1.360	70.000			
00:00:00	-0.893	70.000			
00:00:00	-1.277	70.000			
00:00:00	-1.279	70.000			
00:00:00	-1.117	70.000			
00:00:00	-1.694	70.000			
00:00:00	-1.345	70.000			
00:00:00	-1.722	70.000			
00:00:00	-1.818	70.000			
00:00:00	-1.592	70.000			
00:00:00	-2.167	70.000			
00:00:00	-1.824	70.000			
00:00:00	-2.084	70.000			
00:00:00	-2.134	70.000			
00:00:00	-1.684	70.000			
00:00:00	-2.193	70.000			
00:00:00	-1.770	70.000			
00:00:00	-1.899	70.000			
00:00:00	-2.176	70.000			
00:00:00	-1.671	70.000			
00:00:00	-2.268	70.000			
00:00:00	-1.934	70.000			
00:00:00	-1.774	70.000			
00:00:00	-2.335	70.000			
00:00:00	-1.827	70.000			
00:00:00	-2.095	70.000			
00:00:00	-1.952	70.000			
00:00:00	-1.670	70.000			
00:00:00	-2.091	70.000			
00:00:00	-1.533	70.000			
00:00:00	-1.830	70.000			
00:00:00	-1.759	70.000			
00:00:00	-1.378	70.000			
00:00:00	-1.878	70.000			
00:00:00	-1.441	70.000			
00:00:00	-1.722	70.000			
00:00:00	-1.967	70.000			
00:00:00	-1.526	70.000			
00:00:00	-2.081	70.000			
00:00:00	-1.779	70.000			
00:00:00	-1.979	70.000			
00:00:00	-2.270	70.000			
00:00:00	-1.537	70.000			
00:00:00	-1.701	70.000			
00:00:00	-1.085	70.000			
00:00:00	-0.303	70.000			
00:00:00	0.146	70.000			
00:00:00	1.917	70.000			
00:00:00	2.963	70.000			
00:00:00	4.651	70.000			
00:00:00	6.693	70.000			
00:00:00	7.933	70.000			
00:00:00	9.839	70.000			
00:00:00	10.702	70.000			
00:00:00	11.534	70.000			
00:00:00	12.725	70.000			
00:00:00	12.596	70.000			
00:00:00	13.322	70.000			
00:00:00	13.149	70.000			
00:00:00	12.656	70.000			
00:00:00	12.663	70.000			
